fips	cut_cg_min_16	cut_sb_min_16	cut_cg_2nd_16	cut_sb_2nd_16	cut_cg_min_6	cut_sb_min_6	cut_cg_2nd_6	cut_sb_2nd_6
IA001	6552.99	1889.76	7990.38	2474.84	6552.99	2474.84	8649.44	2595.89
IA003	6891.94	1849.40	7551.00	2622.79	6891.94	2750.57	8743.59	2965.77
IA005	8957.01	2131.86	9201.80	2757.29	9641.18	3402.91	10174.71	3409.63
IA007	2793.18	1654.38	4720.16	1983.91	2793.18	1654.38	4720.16	1983.91
IA009	7205.78	2071.33	8103.36	2602.62	7205.78	2602.62	9860.87	3026.30
IA011	8115.91	1990.63	9333.61	2938.87	8115.91	3133.90	9867.14	3194.43
IA013	7933.89	1661.10	9038.60	2992.67	7933.89	2992.67	10369.29	3174.25
IA015	9233.18	2340.34	9666.28	2696.77	9233.18	2824.55	9678.84	3073.37
IA017	8366.99	1593.85	9496.81	2999.40	8366.99	3140.63	9980.12	3241.50
IA019	8812.64	1741.80	8825.19	2959.05	8812.64	3167.53	10513.65	3308.75
IA021	8517.63	2131.86	8994.67	2582.44	9302.23	2878.35	10074.28	3019.57
IA023	7657.71	1640.93	8844.02	2690.04	7657.71	2690.04	10526.21	3113.73
IA025	8323.05	2226.01	8461.14	2447.94	8323.05	2447.94	8461.14	2710.22
IA027	6609.48	2407.59	8561.57	2629.52	6609.48	2676.59	8567.84	2811.10
IA029	7557.28	1983.91	7952.72	2495.02	7557.28	2495.02	9735.33	3012.85
IA031	9063.71	2434.49	9233.18	3133.90	9973.85	3376.00	10651.74	3571.03
IA033	7833.46	1957.01	9214.35	2710.22	7833.46	2710.22	10237.47	2858.17
IA035	7525.89	2696.77	9063.71	2723.67	9961.29	3449.98	11091.12	3550.86
IA037	7896.22	1553.50	8806.36	2340.34	7896.22	2925.42	9892.25	3133.90
IA039	4814.31	1755.25	5303.90	1782.15	4814.31	2454.66	5303.90	2636.24
IA041	8580.40	2299.99	9013.50	2844.72	10438.33	2985.95	10494.82	3214.60
IA043	9239.46	2508.47	9572.13	3127.18	9597.24	3463.43	11091.12	3678.63
IA045	7331.31	2172.21	8762.42	2858.17	8762.42	3456.71	10745.90	3490.33
IA047	8228.90	2199.11	8241.45	2562.27	8241.45	3066.65	9904.80	3120.45
IA049	8097.08	2158.76	8511.35	2616.07	8097.08	2696.77	8906.79	2804.37
IA051	3289.05	1970.46	5272.52	2205.84	3289.05	1970.46	5272.52	2205.84
IA053	3841.41	1761.98	5919.03	2118.41	3841.41	2125.13	5919.03	2273.09
IA055	8147.30	1997.36	9051.16	2992.67	8147.30	2992.67	10978.14	3342.38
IA057	7036.30	2434.49	8988.39	2757.29	7036.30	3133.90	9019.77	3228.05
IA059	8141.02	2347.06	9069.99	2703.49	9911.08	2959.05	10099.38	3006.12
IA061	9377.55	2286.54	9496.81	2992.67	9377.55	3645.01	10695.68	3651.73
IA063	8228.90	2367.24	9647.45	2663.14	10356.73	2750.57	10444.61	2844.72
IA065	9208.08	1694.73	9477.98	2824.55	9477.98	3328.93	10450.89	3362.55
IA067	7733.03	1761.98	8944.45	2764.02	7733.03	2764.02	10218.64	3154.08
IA069	9170.42	2131.86	9415.21	2911.97	9415.21	2992.67	10406.95	3093.55
IA071	6063.40	2333.61	8235.17	2535.37	8235.17	2784.20	9584.69	3033.02
IA073	7820.90	2454.66	8655.72	2481.57	7820.90	2454.66	8655.72	2575.72
IA075	9195.52	2468.11	9408.94	3234.78	10137.05	3537.41	10846.32	3564.31
IA077	7117.90	1829.23	8028.04	2535.37	7117.90	2535.37	8166.13	2616.07
IA079	8473.69	2313.44	8662.00	2555.54	8473.69	2555.54	8662.00	3080.10
IA081	8994.67	2286.54	9101.37	2784.20	8994.67	2784.20	10664.30	3073.37
IA083	9214.35	2273.09	9829.48	2938.87	9829.48	3154.08	10268.86	3167.53
IA085	8216.34	2259.64	8636.89	2474.84	8216.34	2474.84	10005.23	3080.10
IA087	6841.72	2400.86	7733.03	2743.84	6841.72	2992.67	7733.03	3046.47
IA089	8191.23	1775.43	8649.44	2111.68	8649.44	2770.74	9986.40	3120.45
IA091	9076.26	2273.09	9170.42	2878.35	9170.42	2891.80	9616.07	2952.32
IA093	6873.10	2367.24	7877.39	2454.66	9503.09	3423.08	11153.89	3436.53
IA095	8517.63	2091.51	8844.02	2918.70	8517.63	2918.70	9948.74	3517.23
IA097	7193.22	2219.29	7795.80	3080.10	7193.22	3167.53	9867.14	3369.28
IA099	9044.88	2165.49	9471.70	2905.25	9471.70	2905.25	9584.69	3248.23
IA101	6182.66	2158.76	6452.56	2481.57	6182.66	2764.02	6452.56	2817.82
IA103	8310.49	2131.86	8523.91	2743.84	8310.49	3113.73	9471.70	3187.70
IA105	7990.38	2165.49	8869.13	3086.82	7990.38	3470.16	10601.53	3530.68
IA107	6979.81	2118.41	7092.79	2764.02	6979.81	2764.02	7092.79	3053.20
IA109	8668.27	2266.36	9892.25	2730.39	10331.63	2885.07	10526.21	3127.18
IA111	6477.67	2447.94	6603.20	2649.69	6477.67	2649.69	6603.20	2730.39
IA113	7795.80	1943.56	8844.02	2925.42	7795.80	3100.28	10614.08	3107.00
IA115	7852.29	1990.63	8235.17	2575.72	7852.29	2817.82	9346.17	3207.88
IA117	4469.09	1916.66	5354.12	1943.56	4469.09	2246.19	5354.12	2421.04
IA119	9496.81	2548.82	9597.24	3140.63	10143.32	3483.61	10852.60	3597.93
IA121	6364.68	1869.58	7820.90	2468.11	6364.68	2468.11	7820.90	2629.52
IA123	7318.76	2542.09	8348.15	2965.77	7318.76	3012.85	8348.15	3174.25
IA125	7073.96	1990.63	7224.61	3006.12	7073.96	3026.30	7224.61	3066.65
IA127	9113.93	2172.21	9597.24	3080.10	9892.25	3154.08	10243.75	3705.53
IA129	6923.32	1963.73	8084.53	2555.54	8084.53	2555.54	9729.05	3053.20
IA131	8247.73	2098.23	9132.76	2380.69	8247.73	2743.84	10300.24	2858.17
IA133	6860.55	2400.86	7224.61	2441.21	7224.61	2441.21	9829.48	3053.20
IA135	4224.29	1614.03	4858.25	1950.28	4224.29	1950.28	4858.25	2212.56
IA137	8128.47	2037.71	8285.39	2555.54	8285.39	2864.90	9616.07	3086.82
IA139	8492.52	2367.24	9088.82	2817.82	9088.82	3167.53	9578.41	3288.58
IA141	9503.09	2730.39	9515.64	3254.95	10030.34	3396.18	11317.09	3557.58
IA143	7984.10	2299.99	9327.34	2851.45	10645.47	3295.30	11009.52	3389.45
IA145	6276.81	2024.26	7293.65	2474.84	7293.65	2542.09	8549.01	2985.95
IA147	9120.20	2246.19	9678.84	2696.77	10331.63	2696.77	10595.25	3073.37
IA149	6910.77	2474.84	7525.89	2542.09	6910.77	2474.84	10325.35	3409.63
IA151	8492.52	2286.54	9766.71	2764.02	10281.41	2764.02	10375.56	3086.82
IA153	8749.87	2185.66	9013.50	2817.82	8749.87	2864.90	9013.50	3100.28
IA155	7971.55	1997.36	8279.11	2326.89	8279.11	2326.89	10344.18	3443.26
IA157	9346.17	2125.13	9427.77	2918.70	9559.58	2918.70	9616.07	3409.63
IA159	4494.19	1782.15	5906.48	1795.60	4494.19	2273.09	5906.48	2481.57
IA161	8046.87	2111.68	8203.79	2266.36	8203.79	2864.90	8950.73	2932.15
IA163	8266.56	2535.37	9346.17	3315.48	8266.56	3342.38	9534.47	3523.96
IA165	7946.44	2185.66	8436.03	2589.17	8649.44	2925.42	10771.00	3443.26
IA167	8988.39	2824.55	9415.21	3241.50	8988.39	3241.50	11147.61	3745.89
IA169	8611.78	2158.76	9440.32	2716.94	8611.78	2716.94	9892.25	3154.08
IA171	9095.09	2098.23	9804.37	3066.65	9961.29	3133.90	10055.45	3544.13
IA173	5755.83	1930.11	7212.05	2286.54	5755.83	2501.74	7670.26	2595.89
IA175	5479.65	1728.35	6697.35	2226.01	5479.65	2226.01	7105.35	2528.64
IA177	5699.34	2299.99	6333.30	2367.24	5699.34	2367.24	6333.30	2737.12
IA179	5812.32	2017.53	6289.36	2582.44	5812.32	2784.20	6289.36	2838.00
IA181	6427.45	1842.68	6496.50	2790.92	6427.45	2858.17	6496.50	2911.97
IA183	8291.66	2226.01	8316.77	2737.12	8291.66	3033.02	8316.77	3154.08
IA185	3496.18	1802.33	4588.35	1889.76	3496.18	1889.76	4588.35	2232.74
IA187	8636.89	2380.69	9365.00	2629.52	8636.89	2629.52	9365.00	3059.92
IA189	8285.39	2387.41	9358.72	2501.74	9358.72	2609.34	10111.94	3180.98
IA191	8291.66	2145.31	8825.19	2320.16	8825.19	3019.57	10921.65	3288.58
IA193	7325.04	2394.14	8122.19	2400.86	8461.14	2851.45	10306.52	3147.35
IA195	8335.60	2219.29	8982.11	2555.54	8982.11	2764.02	9459.15	3066.65
IA197	9151.59	2286.54	9415.21	2669.87	9415.21	2804.37	9647.45	2871.62
